id,user_id,source_latitude,source_longitude,source_address,destination_latitude,destination_longitude,destination_address,departure_time,max_estimated_arrival_time,estimated_arrival_time,detour_duration_minutes,capacity,current_number_of_requests,same_gender,user_gender,dataset_id
dsalex_5k_osrm-drv-000000,dsalex_5k_osrm-user-17034,31.1949882,29.9168071,,31.2572985,29.9919829,,2025-09-15T17:09:26+00:00,2025-09-15T17:28:28.800000+00:00,,0,3,0,True,male,alex_5k_osrm
dsalex_5k_osrm-drv-000001,dsalex_5k_osrm-user-11159,31.205867550136656,29.919710319138115,,31.2789807,30.012504,,2025-09-15T17:05:31+00:00,2025-09-15T17:34:53.600000+00:00,,10,3,0,False,male,alex_5k_osrm
dsalex_5k_osrm-drv-000002,dsalex_5k_osrm-user-71834,31.2109273,29.9265176,,31.2593449,29.9978921,,2025-09-15T17:01:39+00:00,2025-09-15T17:30:52.100000+00:00,,10,3,0,True,male,alex_5k_osrm
dsalex_5k_osrm-drv-000003,dsalex_5k_osrm-user-65420,31.2446944,29.9661419,,31.1998065,29.8838787,,2025-09-15T17:09:40+00:00,2025-09-15T17:34:56.500000+00:00,,10,2,0,False,male,alex_5k_osrm
dsalex_5k_osrm-drv-000004,dsalex_5k_osrm-user-56732,31.1973383,29.8982311,,31.2780695,30.0121164,,2025-09-15T17:03:31+00:00,2025-09-15T17:34:36.300000+00:00,,10,3,0,True,female,alex_5k_osrm
dsalex_5k_osrm-drv-000005,dsalex_5k_osrm-user-18007,31.2385483,29.9630934,,31.1966627,29.9248521,,2025-09-15T17:05:49+00:00,2025-09-15T17:21:21.400000+00:00,,0,3,0,True,female,alex_5k_osrm
dsalex_5k_osrm-drv-000006,dsalex_5k_osrm-user-53899,31.197665912614244,29.89329456077183,,31.245519200254975,29.97036996425168,,2025-09-15T17:09:31+00:00,2025-09-15T17:31:30.300000+00:00,,10,2,0,False,male,alex_5k_osrm
dsalex_5k_osrm-drv-000007,dsalex_5k_osrm-user-22695,31.1978485,29.8949781,,31.2268024,29.9673193,,2025-09-15T17:04:44+00:00,2025-09-15T17:33:42.200000+00:00,,10,1,0,True,female,alex_5k_osrm
dsalex_5k_osrm-drv-000008,dsalex_5k_osrm-user-32515,31.200010367707687,29.894376477467986,,31.2975996,30.0580949,,2025-09-15T17:07:24+00:00,2025-09-15T17:41:56+00:00,,10,2,0,False,female,alex_5k_osrm
dsalex_5k_osrm-drv-000009,dsalex_5k_osrm-user-46163,31.246424507373767,29.98004746601771,,31.263204,30.0112302,,2025-09-15T17:09:25+00:00,2025-09-15T17:41:03.200000+00:00,,20,3,0,True,female,alex_5k_osrm
dsalex_5k_osrm-drv-000010,dsalex_5k_osrm-user-90640,31.2640047,30.0060922,,31.2001569,29.8840443,,2025-09-15T17:07:44+00:00,2025-09-15T17:42:31.400000+00:00,,15,3,0,True,female,alex_5k_osrm
dsalex_5k_osrm-drv-000011,dsalex_5k_osrm-user-36668,31.263717,29.9959643,,31.18573195907328,29.902674854347215,,2025-09-15T17:06:12+00:00,2025-09-15T17:30:08.800000+00:00,,0,3,0,False,female,alex_5k_osrm
dsalex_5k_osrm-drv-000012,dsalex_5k_osrm-user-53597,31.2320812,29.9703691,,31.2047597,29.9057212,,2025-09-15T17:05:04+00:00,2025-09-15T17:20:39.500000+00:00,,0,2,0,True,male,alex_5k_osrm
dsalex_5k_osrm-drv-000013,dsalex_5k_osrm-user-54171,31.195077554651167,29.905910568851972,,31.2355628,29.9897229,,2025-09-15T17:07:26+00:00,2025-09-15T17:38:55.200000+00:00,,10,3,0,False,male,alex_5k_osrm
dsalex_5k_osrm-drv-000014,dsalex_5k_osrm-user-72572,31.204352554433243,29.920372126195996,,31.22043043873303,29.969939380332782,,2025-09-15T17:05:16+00:00,2025-09-15T17:37:58.300000+00:00,,15,3,0,False,male,alex_5k_osrm
dsalex_5k_osrm-drv-000015,dsalex_5k_osrm-user-25703,31.2105215,29.9138381,,31.2588695,30.0192142,,2025-09-15T17:00:12+00:00,2025-09-15T17:34:11+00:00,,15,2,0,False,male,alex_5k_osrm
dsalex_5k_osrm-drv-000016,dsalex_5k_osrm-user-72385,31.249872876841557,29.979252362688353,,31.222269,29.9807269,,2025-09-15T17:09:47+00:00,2025-09-15T17:36:45.600000+00:00,,10,1,0,True,female,alex_5k_osrm
dsalex_5k_osrm-drv-000017,dsalex_5k_osrm-user-56365,31.1988657,29.8936761,,31.228106568846723,29.97104757309109,,2025-09-15T17:04:34+00:00,2025-09-15T17:33:08.900000+00:00,,10,3,0,True,male,alex_5k_osrm
dsalex_5k_osrm-drv-000018,dsalex_5k_osrm-user-50364,31.2047484,29.9082044,,31.2706969,30.0016317,,2025-09-15T17:10:59+00:00,2025-09-15T17:26:55.100000+00:00,,0,2,0,False,male,alex_5k_osrm
dsalex_5k_osrm-drv-000019,dsalex_5k_osrm-user-15905,31.275877245882246,30.018922049699974,,31.1876302,29.9126967,,2025-09-15T17:09:45+00:00,2025-09-15T18:03:42+00:00,,25,2,0,False,male,alex_5k_osrm
dsalex_5k_osrm-drv-000020,dsalex_5k_osrm-user-23047,31.1975447,29.9118995,,31.2664235,30.0135863,,2025-09-15T17:06:15+00:00,2025-09-15T17:30:54.100000+00:00,,0,3,0,False,male,alex_5k_osrm
dsalex_5k_osrm-drv-000021,dsalex_5k_osrm-user-88647,31.1981166,29.9172604,,31.239411,29.977355,,2025-09-15T17:08:06+00:00,2025-09-15T17:39:09.300000+00:00,,15,3,0,True,male,alex_5k_osrm
dsalex_5k_osrm-drv-000022,dsalex_5k_osrm-user-49200,31.31034091237642,30.06687613066115,,31.2193207,29.9696336,,2025-09-15T17:04:28+00:00,2025-09-15T17:51:31.600000+00:00,,10,3,0,True,female,alex_5k_osrm
dsalex_5k_osrm-drv-000023,dsalex_5k_osrm-user-95045,31.1969715,29.8953225,,31.264343,29.9931137,,2025-09-15T17:05:29+00:00,2025-09-15T17:32:36.300000+00:00,,10,3,0,True,male,alex_5k_osrm
dsalex_5k_osrm-drv-000024,dsalex_5k_osrm-user-29421,31.2017726,29.9041544,,31.2547337,30.0052983,,2025-09-15T17:05:47+00:00,2025-09-15T17:27:56.400000+00:00,,0,3,0,True,female,alex_5k_osrm
dsalex_5k_osrm-drv-000025,dsalex_5k_osrm-user-66646,31.204361861430964,29.926306565696628,,31.2355652,29.9836836,,2025-09-15T17:10:23+00:00,2025-09-15T17:27:21+00:00,,0,3,0,True,male,alex_5k_osrm
dsalex_5k_osrm-drv-000026,dsalex_5k_osrm-user-26207,31.24519,29.9890964,,31.2245945,29.936287,,2025-09-15T17:03:10+00:00,2025-09-15T17:35:52.100000+00:00,,15,3,0,True,male,alex_5k_osrm
dsalex_5k_osrm-drv-000027,dsalex_5k_osrm-user-34765,31.1951922,29.9154382,,31.2211856,29.976895,,2025-09-15T17:02:56+00:00,2025-09-15T17:21:47.100000+00:00,,0,3,0,True,male,alex_5k_osrm
dsalex_5k_osrm-drv-000028,dsalex_5k_osrm-user-53684,31.2556719,29.9799073,,31.2368431,30.0051958,,2025-09-15T17:10:43+00:00,2025-09-15T17:41:30.700000+00:00,,15,3,0,False,male,alex_5k_osrm
dsalex_5k_osrm-drv-000029,dsalex_5k_osrm-user-51263,31.2197891,29.9326961,,31.287477223593317,30.03693288418734,,2025-09-15T17:02:53+00:00,2025-09-15T17:35:52.500000+00:00,,15,3,0,True,male,alex_5k_osrm
dsalex_5k_osrm-drv-000030,dsalex_5k_osrm-user-18799,31.205738,29.9052861,,31.2391036,29.9944718,,2025-09-15T17:07:42+00:00,2025-09-15T17:23:58+00:00,,0,1,0,True,male,alex_5k_osrm
dsalex_5k_osrm-drv-000031,dsalex_5k_osrm-user-26924,31.2035701,29.8850658,,31.2795395,30.0184283,,2025-09-15T17:08:04+00:00,2025-09-15T17:48:29.100000+00:00,,20,3,0,True,male,alex_5k_osrm
dsalex_5k_osrm-drv-000032,dsalex_5k_osrm-user-88269,31.2007051,29.9000882,,31.2419829,29.9656187,,2025-09-15T17:03:28+00:00,2025-09-15T17:14:37.900000+00:00,,0,3,0,True,female,alex_5k_osrm
