id,user_id,source_latitude,source_longitude,source_address,destination_latitude,destination_longitude,destination_address,earliest_departure_time,latest_arrival_time,max_walking_duration_minutes,number_of_riders,same_gender,user_gender,dataset_id
dsalex_5k_osrm-req-000000,dsalex_5k_osrm-user-3147,31.2100841,29.9136486,,31.2049802,29.8830162,,2025-09-15T16:52:54+00:00,2025-09-15T17:15:09+00:00,10,1,True,female,alex_5k_osrm
dsalex_5k_osrm-req-000001,dsalex_5k_osrm-user-5374,31.262571445231206,29.997118489204993,,31.2018235,29.8807302,,2025-09-15T16:53:28+00:00,2025-09-15T17:29:24.700000+00:00,5,1,True,male,alex_5k_osrm
dsalex_5k_osrm-req-000002,dsalex_5k_osrm-user-4974,31.2042201,29.9077101,,31.2315093,29.9835012,,2025-09-15T16:41:00+00:00,2025-09-15T17:19:17.900000+00:00,10,1,True,male,alex_5k_osrm
dsalex_5k_osrm-req-000003,dsalex_5k_osrm-user-1695,31.2064528,29.8825148,,31.24679272206504,29.974695865098006,,2025-09-15T16:52:37+00:00,2025-09-15T17:17:12+00:00,15,2,False,female,alex_5k_osrm
dsalex_5k_osrm-req-000004,dsalex_5k_osrm-user-9719,31.19896,29.9087646,,31.2405383,29.983501,,2025-09-15T16:53:17+00:00,2025-09-15T17:21:19.400000+00:00,10,2,False,male,alex_5k_osrm
dsalex_5k_osrm-req-000005,dsalex_5k_osrm-user-5630,31.2235338978885,29.938801098055322,,31.2471567,30.014261,,2025-09-15T17:08:22+00:00,2025-09-15T17:27:59+00:00,10,1,True,male,alex_5k_osrm
dsalex_5k_osrm-req-000006,dsalex_5k_osrm-user-8904,31.1978485,29.8949781,,31.2457462,30.0147888,,2025-09-15T16:50:50+00:00,2025-09-15T17:31:46.700000+00:00,10,1,False,male,alex_5k_osrm
dsalex_5k_osrm-req-000007,dsalex_5k_osrm-user-2039,31.1952169,29.9125867,,31.3193609,30.0580023,,2025-09-15T16:52:42+00:00,2025-09-15T17:34:50.800000+00:00,5,1,True,female,alex_5k_osrm
dsalex_5k_osrm-req-000008,dsalex_5k_osrm-user-2105,31.2403292,29.9971148,,31.1897306,29.891991,,2025-09-15T16:59:16+00:00,2025-09-15T17:36:50+00:00,10,3,True,female,alex_5k_osrm
dsalex_5k_osrm-req-000009,dsalex_5k_osrm-user-1616,31.2568245,29.9787922,,31.2942327,30.055013,,2025-09-15T16:50:58+00:00,2025-09-15T17:13:11.500000+00:00,5,1,True,male,alex_5k_osrm
dsalex_5k_osrm-req-000010,dsalex_5k_osrm-user-1721,31.2018734,29.9104184,,31.2499903,29.9876067,,2025-09-15T17:04:33+00:00,2025-09-15T17:22:09.200000+00:00,10,1,True,female,alex_5k_osrm
